index_f,Nuovo ID,hallow_back,rilegatura_moderna,Colonna1,Collocazione,roman_converted,disambiguatore,numero_del_codice,numerazione_araba,numerazione_romana_alternativa,ulteriore_numerazione_arabaoromana,identificativo_parte,Spagnolo,note,titolo,materiale,datazione_i,datazione_i,datazione_f,lingua,fogli,altezza,ampiezza,rilegatura,tipo_rilegatura,materiale_rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,anno_restauro,dorature,disegni,miniato,colori,rosso,blue,preferred_manifest_url
25,m0021_0,,,,[II 1 6],21,_0,XXI,19,,,,74-75,,Ve. Bedae et Di. Hieronimi Opera varia,membranaceo,900,901,930,,124,320,240,rilegato,pergamena,,,,,,,1,,,,1,,,,,
26,m0022_0,,,,[II 1 7],22,_0,XXII,20,,,,75-76,,D. Hieronimi et Gennadii De viris illustribus et alia plura,membranaceo,525,525,580,,175,220,195,rilegato,assi ricoperte di pelle,,,,,,,,,,,,,,,,
27,m0023_0,,,,[II 1 8],23,_0,XXIII,21,,,,77,,"D. Hieronimo olim attributae Questiones in libr. Regum et Paralipom., Epistola Caroli regis",membranaceo,800,801,1000,,116,217,155,rilegato,pergamena,,,,,,,,,,,1,,,,,
28,m0024_0,,,,[II 1 9],24,_0,XXIV,22,,,,77-78,,S. Hieronymi Opuscola,membranaceo,1400,1401,1500,,71,197,114,rilegato,,,,1,,,,,,,,,1,1,,,
29,m0025_0,,,,[II 1 10],25,_0,XXV,23,,,,78,,"Eusebii De morte et miraculis Hieronymi, S. Augustini quaedam",cartaceo,1400,1401,1500,,199,210,150,rilegato,assi coperte in pelle,,,,,,,,,,1,,1,1,1,,
30,m0026_0,,,,[II 1 11],26,_0,XXVI,24,,,,79,,Eusebii Chronicon cum Math. Palmerii continuatione,cartaceo,1400,1401,1500,,116,282,212,rilegato,mezza pelle e cartoncino,,,,,,,,,,,,1,,1,,
31,m0027_0,,,,[II 1 12],27,_0,XXVII,25,,,,79-80,1 disegno c. 98v,S. Ambrosii in Exameron et alia plura,membranaceo,900,901,1100,,138,345,260,rilegato,assi coperte di pelle,,,,,,,,,,,1,,,1,,
32,m0028_0,,,,[II 1 13],28,_0,XXVIII,26,,,,80-81,rifatta la scrittura su parecchie pagine (= palinsesto?),B. Augustini De civitate Dei,membranaceo,400,401,700,,253,290,190,rilegato,pergamena,,1,,,,,1,,,,,,,1,,
33,m0029_0,,,,[II 1 14],29,_0,XXIX,27,,,,81-82,,S. Augustini De civitate Dei,membranaceo,875,875,900,,116,360,256,rilegato,pergamena,,,,,,,,1,1967,,,,,1,,
34,m0030_0,,,,[II 1 15],30,_0,XXX,28,,,,82,,S. Augustini in Psalmos,membranaceo,800,801,900,,95,298,210,rilegato,pergamena,,,,,,,,,,,,,,1,,
35,m0031_0,,,,[II 1 16],31,_0,XXXI,29,,,,83,,S. Augustini in Psalmos,membranaceo,800,801,900,,161,290,210,rilegato,,,,,,,,,,,,,,,,,
36,m0032_0,,1,,[III 1 1],32,_0,XXXII,30,,,,83-84,,"S. Augustini Enchiridion, libri 2 De sermone in Monte Domini, Cassiani li. V De spiritu Castrimargiae et Hymni duo",membranaceo,900,901,1000,,187,300,204,rilegato,pergamena,,,,,,1,,1,1959-1960,,,,,1,,
37,m0033_0,,,,[III 1 2],33,_0,XXXIII,31,,,,84,,"S. Augustini De agone christiano, De fide et symbolo, Epistola ad Hieronymum",membranaceo,700,701,900,,70,220,164,rilegato,pergamena,,,,,,,,,,,,,,1,,
38,m0034_0,,,,[III 1 3],34,_0,XXXIV,32,,,,85,,S. Augustini De doctrina christiana libri IV,membranaceo,1200,1201,1300,,99,250,160,rilegato,pergamena,,,,,,,,,,,,,,1,,
39,m0035_0,,,,[III 1 4],35,_0,XXXV,33,,,,85,,S. Augustini liber qui vocatur Quinquaginta,membranaceo,1100,1101,1200,,212,240,160,rilegato,pergamena,,,,,,,,,,,,,,1,,
40,m0036_0,,1,,[III 1 5],36,_0,XXXVI,34,,,,86,al f. 6 bellissima iniziale a disegno e colori,S. Augustini Explanatio in Evangelium Iohannis,membranaceo,875,875,900,,316,386,280,rilegato,pergamena,,,,,,,,,,,1,,1,1,,
41,m0037_0,,,,[III 1 6],37,_0,XXXVII,35,,,,87,,S. Clementis Recognitionum libri X interprete Rufino et alia,membranaceo,500,501,800,,265,323,252,rilegato,pergamena,,,,,,,,,,,,,,,,
42,m0038_0,,,,[III 1 7],38,_0,XXXVIII,36,,,,88-89,"f. 38 v. rozzi disegni di un uccello, una pera, un'anfora e di una santa di certo posteriori; f. 118 v. [...] traccia di una scrittura antichissima",Sulpicii Severi Vita b. Martini et alia opuscola,membranaceo,500,501,530,,117,256,210,rilegato,pelle,,1,,,,,,,,,1,,,1,,
43,m0039_0,,,,[III 1 8],39,_0,XXXIX,37,,,,89-90,,Cassiodori Senatoris Complexiones,membranaceo,500,501,700,,110,280,230,rilegato,pergamena,,,1,,,,,,,,,,,1,,
44,m0040_0,,1,,[III 1 9],40,_0,XL,38,,,,90-92,venne sciolto nel 1968 (ma 1868) raccogliendo a parte i palinsesti,S. Gregorii M.P. Moralium in Job lib. VIII posteriores,membranaceo,700,701,900,,344,268,215,rilegato,mezza tela,,1,,,,,,,,,,,1,1,1,
45,m0040_1,,,,[IV 2 8],40,_1,XL,38_1,,,,91,,P. Virgilii M. fragm. Buc. Georg. Aeneid. cum varior. comm.,membranaceo,300,301,400,,61,272,215,fogli sciolti,,,1,,,,,,,,,,,,,,
46,m0040_2,,,,[IV 2 8],40,_2,XL,38_2,,,,91-92,,T. Livii Fragm.,membranaceo,300,301,400,,60,257,215,fogli sciolti,,,1,,,,,,,,,,,,,,
47,m0040_3,,,,[IV 2 8],40,_3,XL,38_3,,,,92,,Anonimi philosophici Tractatus fragm.,membranaceo,400,401,600,,8,,,fogli sciolti,,,1,,,,,,,,,,,,,,
48,m0040_4,,,,[IV 2 8],40,_4,XL,38_4,,,,92,,Anon. mathematici cuiusdam fragm.,membranaceo,500,501,600,,6,,,fogli sciolti,,,1,,,,,,,,,,,,,,
49,m0041_0,,,,[III A 1],41,_0,XLI,39,,,,92-93,,S. Gregorii M.P. Moralium in Job lib. XVI priores,membranaceo,1000,1001,1100,,229,490,370,rilegato,assi coperte di pelle,,,,,,,,,,,1,,1,1,,
50,m0042_0,,,,[III 1 10],42,_0,XLII,40,,,,93,,S. Gregorii M.P. Pastoralis liber,membranaceo,700,701,900,,153,235,150,rilegato,pergamena,,,,,,1,,,,,,,,1,,
51,m0043_0,,,,[III 1 11],43,_0,XLIII,41,,,,94,,S. Gregorii M.P. Pastoralis et alia SS. PP. Opuscola,membranaceo,800,801,900,,130,256,170,rilegato,pergamena,,,,,,,,,,,,,,1,1,
52,m0044_0,,,,[III 1 12],44,_0,XLIV,42,,,,94-95,,"S. Gregorii M.P. liber Pastoralis et ex libro Epistolarum, SS. PP. Opuscola",membranaceo,800,801,1000,,178,310,210,rilegato,assi coperte di pelle,,,,,,,,,,,,,,1,1,
53,m0045_0,,,,[III 1 13],45,_0,XLV,43,,,,95-96,,S. Gregorii M.P. Excerpta varia,membranaceo,800,801,1000,,180,336,220,rilegato,pergamena,,,,,,,,,,,,,,1,1,
54,m0046_0,,,,[III 1 14],46,_0,XLVI,44,,,,96,,S. Gregorii M.P. Dialogorum libri quatuor,membranaceo,700,701,800,,147,214,145,rilegato,pergamena,,,,,,,,,,,,,,1,,
55,m0047_0,,1,,[III 1 15],47,_0,XLVII,45,,,,97,,Iohannis diaconi Vita S. Gregorii P.,membranaceo,800,801,1100,,160,275,220,rilegato,pergamena,,,,,,1,1,,,,,,,1,,
56,m0048_0,,,,[V 1 1],48,_0,XLVIII,46,,,,97-98,,"S. Hieronymi Spuria quaedam, S. Gregorii M.P. Homilia in Evangelia",membranaceo,1000,1001,1200,,238,310,226,rilegato,cartoncino,,,,,,1,,,,,1,,1,1,,
57,m0049_0,,,,[V 1 2],49,_0,XLIX,47,,,,98-99,,S. Zenonis ep. veron. Sermones et alia,cartaceo,1500,1501,1600,,135,295,205,rilegato,assi coperte di pelle,,,,,,,,,,,,,,,,
58,m0050_0,,,,[V 1 3],50,_0,L,48,,,,99,,Vita S. Zenonis et alia,bombacino,1300,1301,1400,,31,320,155,rilegato,pergamena,,,,,,,,,,,,1,,,,
59,m0051_0,,,,[V 1 4],51,_0,LI,49,,,,99-101,,"S. Maximi ep. Taur. Expositio in Evangelia, Tractatus et Sermones",membranaceo,500,501,700,,156,320,240,rilegato,pergamena,,,1,,,,1,,,,,1,,,,
60,m0052_0,,,,[V 1 5],52,_0,LII,50,,,,101-104,,"SS. Patrum Homiliae, Regula S. Benedicti et alia plura",membranaceo,800,801,1000,,276,222,100,rilegato,cartoncino mezza pelle,,,,,,,,,,,,,,1,,
61,m0053_0,,,,[V 1 6],53,_0,LIII,51,,,,104,,"Facundi Hermianensis Ad Iustinianum in defensionem trium capitulorum, item Contra Mucianum",membranaceo,600,601,700,,301,270,230,rilegato,assi coperte di pelle,,,1,,,1,,,,,,,,1,,http://lezioni.meneghetti.univr.it//manifests/b698a7d2668205fbe7cd023e0ded1784.json
62,m0054_0,,,,[V 1 7],54,_0,LIV,52,,,,105,,S. Ioan. Chrisostomi in Epist. ad hebraeos interprete Mutiano Scholastico,membranaceo,900,901,930,,175,300,187,rilegato,legatura in pergamena,,,1,1,,,,1,1959,,1,,1,1,,
63,m0055_0,,,,[V 1 8],55,_0,LV,53,,,,105-106,,S. Isidori De summo bono. Didascalia apostolorum,membranaceo,600,601,630,,99,260,172,rilegato,legatura in pelle,,1,,,,,,,,,1,,1,1,,
64,m0056_0,,,,[V 1 9],56,_0,LVI,54,,,,106-107,,S. Isidori hispal. Opuscola quaedam et alia,membranaceo,875,875,930,,91,264,182,rilegato,cartoncino,,,,,,,,,,,,,,1,,
65,m0057_0,,,,[V 1 10],57,_0,LVII,55,,,,107-109,,"Acta Concilii Ephesini, Concil. Romanum a. 769 sub Stephano III papa",membranaceo,800,801,1100,,110,310,250,rilegato,pergamena,,,,,,,,,,,,,,1,,
66,m0058_0,,,,[V 1 11],58,_0,LVIII,56,,,,109-110,,Conc. Calcedonensis acta cum epistulis,membranaceo,800,801,1000,,312,320,260,rilegato,pergamena,,,1,,,,1,1,1980,,,,1,,,
67,m0059_0,,,,[V 1 12],59,_0,LIX,57,,,,111-115,,"Vigili Tapsensis De unita deitate Trinitatis, S. Athanasii De symbolo et alia quaedam, Acta synodi Chalcedon.",membranaceo,500,501,700,,255,230,200,rilegato,cartoncino,,,1,,,,,1,"1926, 1960",,,,1,,,
68,m0060_0,,,,[V 1 13],60,_0,LX,58,,,,115,,Canones Conciliurum Africanae provinciae et aliorum plurium conciliorum,membranaceo,600,601,700,,126,260,200,rilegato,pergamena,,,1,,,,,,,,,,,1,,
69,m0061_0,,,,[V 1 14],61,_0,LXI,59,,,,116-118,,Abbreviatio compendiosa veterum sacrorum canonum Ferrandii vel Cresconii,membranaceo,650,651,750,,76,200,160,rilegato,pergamena,,,1,,,,,,,,,,,1,,
70,m0062_0,,,,[V 1 15],62,_0,LXII,60,,,,119-120,tre casse e due cartelle,Cresconii Capitulare concordia canonum SS. PP. Opuscola,membranaceo,700,701,900,,107,285,185,rilegato,cartoncino e mezza pelle,,1,1,,,,,,,,,,,1,,
71,m0062_1,,,,[IV1],62,_1,LXII,60_1,,,,120,rescritti separati in carte sciolte nel XIX secolo,Iustiniani imper. Codex cum scholiis graecis,membranaceo,500,501,630,greco latino,40,350,275,fogli sciolti,,,1,,,,,,,,,,,,,,
72,m0063_0,,1,,[VI 1 1],63,_0,LXIII,61,,,,121-124,,Collectio canonum et SS. Patrum Opuscola,membranaceo,900,901,1100,,98,270,200,rilegato,cartoncino,,,,,,,,,,,,,,1,,
73,m0064_0,,1,,[VI 1 2],64,_0,LXIV,62,,,,124-125,,"Apologia Formosi, Collectio dictorum BB. PP. et alia",membranaceo,1050,1051,1100,,104,213,160,rilegato,cartoncino,,,,,,,,,,,,,,,,
74,m0065_0,,1,,[VI 1 3],65,_0,LXV,63,,,,126,,Ven. Bedae Martyrologium et alia quaedam,membranaceo,800,801,1000,,60,205,147,rilegato,cartoncino,,,,,,,,,,,,,,1,,
75,m0066_0,,,,[VI 1 4],66,_0,LXVI,63,^,,,126-127,,Martyrologium secundum romanam Curiam cum kalendario in usum Capituli et Ecclesiae veronensis,membranaceo,1300,1301,1400,,123,255,192,rilegato,pelle con marche di metallo e doppio fermaglio,,,,,,,,,,1,,1,1,1,1,
76,m0067_0,,,,[VI 1 5],67,_0,LXVII,64,,,,127-128,,Albini Flacci Alcuini Opera varia et alia quaedam,membranaceo,900,901,1000,,89,250,145,rilegato,pergamena,,,,,,,,,,,,,,,,
77,m0068_0,,,,[VI 1 6],68,_0,LXVIII,65,,,,128-129,,"Rabani Mauri Comment. in lib. Iudith et Esther, Ratheri ep. ver. De vita et translationis S. Metronis",membranaceo,800,801,900,,75,270,220,rilegato,pergamena,,,,,,,,,,,,,,1,,
78,m0069_0,,,,[VI 1 7],69,_0,LXIX,66,,,,129-130,,Pacifici arcidiaconi veron. Glosae super Exodum,membranaceo,800,801,850,,65,330,220,rilegato,cartoncino,,,1,,,,,,,,,,,,,
79,m0070_0,,,,[VI 1 8],70,_0,LXX,67,,,,130,,Commentarium in lib. Veter. testamenti et alia quaedam,membranaceo,1100,1101,1200,,112,222,150,rilegato,cartoncino,,,1,,,,,,,,,,,,,
80,m0071_0,,,,[VI 1 9],71,_0,LXXI,68,,,,131,,Glossae in Evangelium S. Mathaei,membranaceo,1100,1101,1300,,62,263,180,rilegato,cartoncino,,,,1,1,,,1,1966,,1,,1,,,
81,m0072_0,,,,[VI 1 10],72,_0,LXXII,69,,,,131-132,,Glossae in Evangel. Lucae,membranaceo,1100,1101,1200,,130,271,172,rilegato,cartoncino,,,,,,,,,,,1,,1,1,,
82,m0073_0,,,,[VI 1 11],73,_0,LXXIII,70,,,,132,,Glossae in Evangel. Ioannis (S. Matthaei G.T.),membranaceo,1100,1101,1200,,88,240,168,rilegato,cartoncino,,,,,,,1,,,,,,1,1,1,
83,m0074_0,,,,[VI 1 12],74,_0,LXXIV,71,,,,132-133,,D. Pauli apost. Epistolae cum praefationibus,membranaceo,800,801,1100,,133,241,145,rilegato,cartoncino,,,,1,,,,,,,,,,1,,
84,m0075_0,,,,[VI 1 13],75,_0,LXXV,72,,,,133,,Commentar. in Epistol. divi Pauli,membranaceo,800,801,900,,78,260,170,rilegato,cartoncino,,,,,,,,,,,,,1,,,
85,m0076_0,,,,[VI 1 14],76,_0,LXXVI,,,,,133-134,,Vener. Bedae Expositio in Epistol. catholicas,membranaceo,800,801,1000,,56,270,168,rilegato,cartoncino,,,,,,,1,,,,,,,,,
86,m0077_0,,,,[VI 1 15],77,_0,LXXVII,74,,,,134-138,,Sermones et homiliae sanctorum Patrum,membranaceo,1100,1101,1200,,178,395,280,rilegato,cartoncino,,,,,,,1,,,,1,1,,1,,
87,m0078_0,,,,[VI 1 16],78,_0,LXXVIII,75,,,,138-139,,Sermones et homiliae SS. Patrum et alia,membranaceo,1000,1001,1200,,145,320,230,rilegato,cartoncino,,,,,,,1,,,,1,,1,1,,
88,m0079_0,,,,[VII 1 1],79,_0,LXXIX,76,,,,140-141,,"Evangelia, Lectiones et Epistolae per annum",membranaceo,1100,1101,1200,,293,360,250,rilegato,cartoncino,,,,,,,,,,,,,,1,,
89,m0080_0,,,,[III A 2],80,_0,LXXX,431,,,,141-146,,Homiliae plurimorum S.S. Patrum,membranaceo,1100,1101,1300,,250,480,332,rilegato,assi coperte di pelle,,,,,,,,,,,1,,1,,,
90,m0081_0,,,,[A E 1],81,_0,LXXXI,432,,,,146-148,,Homiliarius capituli Ecclesiae veronesis,membranaceo,1350,1351,1400,,150,545,400,rilegato,assi coperte di pelle e custodia e brocconi di metallo,,,,,,,,,,1,,1,,1,,
91,m0081_1,,,,[VII 1 2],81,_1,LXXXI,2,,,,148-149,dimensioni varie,Miscellanea sacrorum fragmentorum,membranaceo,900,901,1300,,22,,,rilegato,cartoncino,,,,,,,,,,,,,,,,
92,m0082_0,,,,[VII 1 3],82,_0,LXXXII,77,,,,149-151,,Evangelia et Epistola per annum,membranaceo,800,801,1000,,276,280,190,rilegato,cartoncino,,,,,,,,,,,1,,1,1,,
93,m0083_0,,,,[VII 1 4],83,_0,LXXXIII,78,,,,151,iniziali in bianco,Zachariae Chrisopolitani Comment. in quatuor Evangelia,membranaceo,1200,1201,1300,,112,370,270,rilegato,cartoncino,,,,,,,,,,,,,,,,
94,m0084_0,,,,[VII 1 5],84,_0,LXXXIV,79,,,,151-152,,De diviniis officis et Missis per annum et De passionibus sanctorum,membranaceo,1200,1201,1400,,132,310,210,rilegato,pergamena,,,,,,,,,,,,,,1,,
95,m0085_0,,,,[VII 1 6],85,_0,LXXXV,80,,,,152-153,,Sacramentarium veronense seu Leonianum,membranaceo,600,601,650,,139,235,172,rilegato,pergamena,,,,,,,,,,,,,,1,,
96,m0086_0,,,,[VII 1 7],86,_0,LXXXVI,81,,,,153-156,189 c. prima del restauro,Sacramentarium gelasiano-gregorianum,membranaceo,800,801,900,,198,295,193,rilegato,cartoncino,,,,,1,,,1,,,1,,1,,,
97,m0087_0,,,,[IV 1 2],87,_0,LXXXVII,82,,,,157-160,,Missale ac Sacramentarium gregorianum cum addit. ad usum Eccl. cathed. Veron.,membranaceo,975,975,1000,,339,340,270,rilegato,assi coperte di pelle,,,,,,,,,,1,1,,1,1,,
98,m0088_0,,,,[VII 1 8],88,_0,LXXXVIII,83,,,,161-162,,"Piae precationis, Lectiones breves, Himni, Antiphonae et alia",membranaceo,800,801,1000,,80,145,115,rilegato,cartoncino,,,,,,,,,,,,,,,,
99,m0089_0,,,,[VII 1 9],89,_0,LXXXIX,84,,,,162-163,,Breviarium mozarabicum cum aliquibus missis,membranaceo,600,601,900,,127,330,260,rilegato,pergamena,,,,,1,,,,,,,,,1,,
100,m0090_0,,,,[VII 1 10],90,_0,XC,85,,,,163-167,,"Orationes, Sermones SS. Patrum, Hymni, Rytmi historici, Martirolog. Bedae etc.",membranaceo,850,851,1000,,141,150,118,rilegato,pergamena,,,,,,,,,,,,,,1,,
101,m0091_0,,,,[VII 1 11],91,_0,XCI,86,,,,167-168,,Sacramentarium gregorianum,membranaceo,800,801,1000,,165,260,170,rilegato,cartoncino,,,,,,1,,1,1959,,1,,1,1,1,
102,m0092_0,,,,[VII 1 12],92,_0,XCII,87,,,,169-170,,Ordo librorum catholicorum. Processiones ad ecclesiam et alia plura,membranaceo,700,701,900,,71,183,120,rilegato,pergamena,,,,,,1,,,,,,,,,,
103,m0093_0,,,,[VII 1 13],93,_0,XCIII,88,,,,170,,S. Bernardi ab. Sermones sup. Cant. canticorum,membranaceo,700,701,900,,237,290,220,rilegato,cartoncino,,,,,,,,,,,1,,1,,,
104,m0094_0,,,,[VII 1 14],94,_0,XCIV,89,,,,170-172,forse una carta aggiunta (53a),Stephani sacerdotis cantoris veronensis Ecclesiae Carpsum sive Ordo veron. Eccl.,membranaceo,1000,1001,1100,,97,230,170,rilegato,pergamena,,,,,,,,,,,1,,,1,,
105,m0095_0,,,,[VIII 1 1],95,_0,XCV,90,,,,173-174,,Passiones seu vitae sanctorum,membranaceo,800,801,1000,,273,307,205,rilegato,cartoncino,,,,,,,,,,,,,,1,,
106,m0096_0,,,,[VIII 1 2],96,_0,XCVI,90*,,,,174-176,,Vitae seu passiones sanctorum,membranaceo,1100,1101,1200,,327,370,260,rilegato,assi,,,,,,,,,,1,1,,1,1,,
107,m0097_0,,,,[VIII 1 3],97,_0,XCVII,91,,,,176-178,,Sacramentarium cum kalend. praefat. et aliis,membranaceo,900,901,1100,,229,270,200,rilegato,cartoncino,,,,,,,,,,,1,,1,1,,
108,m0098_0,,,,[VIII 1 4],98,_0,XCVIII,92,,,,179-180,,Antifonae et responsoria per anni circulum sub notis musicis,membranaceo,1000,1001,1100,,267,290,190,rilegato,cartoncino,,,,,,,,1,1961,,1,,1,1,,
109,m0099_0,,,,[VIII 1 5],99,_0,XCIX,93,,,,180-181,,Missale secundum consuetudinem romanae curiae,membranaceo,1350,1351,1400,,272,400,270,rilegato,assi,,,,,,,,1,1958,1,,1,1,1,1,
110,m0100_0,,,,[VIII 1 6],100,_0,C,94,,,,181,,Missale secund. consuetud. romanae curiae,membranaceo,1350,1351,1400,,263,375,270,rilegato,assi,,,,,,,,1,1958,1,,1,1,1,1,
111,m0101_0,,,,[VIII 1 7],101,_0,CI,95,,,,182,,"Evangelia Marci, Lucae et Iohannis in dom. e festis per annum",membranaceo,800,801,1100,,238,335,270,rilegato,cartoncino,,,,,,,1,,,,,,,1,,
112,m0102_0,,,,[VIII 1 8],102,_0,CII,96,,,,183-184,,Missale secundum consuetudinem romanae curiae,membranaceo,1350,1351,1400,,247,395,260,rilegato,cartoncino,,,,,,,,1,,1,,1,1,1,1,
113,m0103_0,,,,[VIII 1 9],103,_0,CIII,96,,,,184-186,,"Preces, Antifonae, Responsoria, Lectiones per annum, Kalendarium, Oratione, Hymni etc.",membranaceo,1100,1101,1300,,170,250,165,rilegato,cartoncino,,,,,,,1,,,,1,,1,1,,
114,m0104_0,,,,[VIII 1 10],104,_0,CIV,97,,,,186,,"Evangelia et Orationes, Ordo etc.",membranaceo,1100,1101,1200,,32,280,188,rilegato,cartoncino,,1,1,,,,,,,,,,,1,,
115,m0105_0,,,,[VIII 1 11],105,_0,CV,98,,,,187-189,,Missale cum notis musicis,membranaceo,1000,1001,1100,,395,370,260,rilegato,cartoncino,,,,,,,,,,,1,,1,1,,
